float_id,time,depth_dbar,temperature_C,salinity_psu
b'1902453 ',2025-09-22 02:10:55.000228864,2.4,29.237,35.088
b'1902453 ',2025-09-22 02:10:55.000228864,4.0,29.236,35.088
b'1902453 ',2025-09-22 02:10:55.000228864,5.9,29.232,35.09
b'1902453 ',2025-09-22 02:10:55.000228864,7.9,29.197,35.105
b'1902453 ',2025-09-22 02:10:55.000228864,10.0,29.118,35.13
b'1902453 ',2025-09-22 02:10:55.000228864,12.0,29.014,35.137
b'1902453 ',2025-09-22 02:10:55.000228864,14.0,28.94,35.131
b'1902453 ',2025-09-22 02:10:55.000228864,16.0,28.902,35.133
b'1902453 ',2025-09-22 02:10:55.000228864,18.0,28.851,35.126
b'1902453 ',2025-09-22 02:10:55.000228864,20.0,28.813,35.121
b'1902453 ',2025-09-22 02:10:55.000228864,22.0,28.8,35.125
b'1902453 ',2025-09-22 02:10:55.000228864,24.0,28.772,35.128
b'1902453 ',2025-09-22 02:10:55.000228864,26.0,28.754,35.138
b'1902453 ',2025-09-22 02:10:55.000228864,28.0,28.719,35.152
b'1902453 ',2025-09-22 02:10:55.000228864,30.0,28.684,35.157
b'1902453 ',2025-09-22 02:10:55.000228864,32.0,28.625,35.163
b'1902453 ',2025-09-22 02:10:55.000228864,34.1,28.564,35.17
b'1902453 ',2025-09-22 02:10:55.000228864,36.0,28.511,35.175
b'1902453 ',2025-09-22 02:10:55.000228864,37.9,28.43,35.176
b'1902453 ',2025-09-22 02:10:55.000228864,40.3,28.217,35.18
b'1902453 ',2025-09-22 02:10:55.000228864,41.9,27.834,35.201
b'1902453 ',2025-09-22 02:10:55.000228864,44.0,27.288,35.204
b'1902453 ',2025-09-22 02:10:55.000228864,46.0,26.99,35.209
b'1902453 ',2025-09-22 02:10:55.000228864,48.1,26.81,35.216
b'1902453 ',2025-09-22 02:10:55.000228864,50.0,26.575,35.228
b'1902453 ',2025-09-22 02:10:55.000228864,52.0,26.289,35.231
b'1902453 ',2025-09-22 02:10:55.000228864,53.8,25.582,35.231
b'1902453 ',2025-09-22 02:10:55.000228864,56.0,25.099,35.229
b'1902453 ',2025-09-22 02:10:55.000228864,58.0,24.809,35.214
b'1902453 ',2025-09-22 02:10:55.000228864,60.1,24.318,35.198
b'1902453 ',2025-09-22 02:10:55.000228864,61.9,24.088,35.197
b'1902453 ',2025-09-22 02:10:55.000228864,61.95,24.084118,35.19688
b'1902453 ',2025-09-22 02:10:55.000228864,64.0,23.925,35.192
b'1902453 ',2025-09-22 02:10:55.000228864,65.9,23.649,35.187
b'1902453 ',2025-09-22 02:10:55.000228864,68.0,23.235,35.183
b'1902453 ',2025-09-22 02:10:55.000228864,70.0,22.768,35.203
b'1902453 ',2025-09-22 02:10:55.000228864,72.0,22.625,35.209
b'1902453 ',2025-09-22 02:10:55.000228864,74.0,22.512,35.201
b'1902453 ',2025-09-22 02:10:55.000228864,76.0,22.494,35.204
b'1902453 ',2025-09-22 02:10:55.000228864,78.1,22.496,35.204
b'1902453 ',2025-09-22 02:10:55.000228864,80.0,22.496,35.205
b'1902453 ',2025-09-22 02:10:55.000228864,82.0,22.434,35.214
b'1902453 ',2025-09-22 02:10:55.000228864,84.0,22.223,35.211
b'1902453 ',2025-09-22 02:10:55.000228864,86.0,21.828,35.172
b'1902453 ',2025-09-22 02:10:55.000228864,88.0,21.647,35.147
b'1902453 ',2025-09-22 02:10:55.000228864,89.9,21.368,35.135
b'1902453 ',2025-09-22 02:10:55.000228864,92.0,20.867,35.137
b'1902453 ',2025-09-22 02:10:55.000228864,93.9,20.567,35.135
b'1902453 ',2025-09-22 02:10:55.000228864,96.0,20.419,35.134
b'1902453 ',2025-09-22 02:10:55.000228864,98.0,20.253,35.135
b'1902453 ',2025-09-22 02:10:55.000228864,100.0,20.167,35.136
b'1902453 ',2025-09-22 02:10:55.000228864,102.0,20.105,35.137
b'1902453 ',2025-09-22 02:10:55.000228864,104.0,20.082,35.137
b'1902453 ',2025-09-22 02:10:55.000228864,106.0,20.067,35.138
b'1902453 ',2025-09-22 02:10:55.000228864,108.0,20.056,35.138
b'1902453 ',2025-09-22 02:10:55.000228864,110.0,20.026,35.137
b'1902453 ',2025-09-22 02:10:55.000228864,112.0,19.993,35.135
b'1902453 ',2025-09-22 02:10:55.000228864,114.0,19.831,35.134
b'1902453 ',2025-09-22 02:10:55.000228864,114.49,19.77073,35.133755
b'1902453 ',2025-09-22 02:10:55.000228864,116.0,19.585,35.133
b'1902453 ',2025-09-22 02:10:55.000228864,116.49,19.520075,35.13153
b'1902453 ',2025-09-22 02:10:55.000228864,118.0,19.32,35.127
b'1902453 ',2025-09-22 02:10:55.000228864,118.42,19.23621,35.12196
b'1902453 ',2025-09-22 02:10:55.000228864,120.0,18.921,35.103
b'1902453 ',2025-09-22 02:10:55.000228864,120.23,18.87615,35.099552
b'1902453 ',2025-09-22 02:10:55.000228864,122.0,18.531,35.073
b'1902453 ',2025-09-22 02:10:55.000228864,124.0,17.995,35.042
b'1902453 ',2025-09-22 02:10:55.000228864,126.0,17.45,35.031
